dataset,target,model,selector,n_seeds,apparent_mean,apparent_std,apparent_min,apparent_max,nested_mean,nested_std,nested_min,nested_max,bias_mean,bias_std
deep_patato,chlorophyll,pls,ga,12,0.8074953619485816,0.0072016075693115906,0.7932511059961597,0.8161553904585508,0.44181899248904877,0.03729635231027233,0.37151595546376964,0.5020718255897663,0.3656763694595329,0.036435719060184446
deep_patato,chlorophyll,pls,lasso,12,0.737001098104118,0.0,0.737001098104118,0.737001098104118,0.4767133775407479,0.0,0.47671337754074783,0.47671337754074783,0.26028772056337013,0.0
deep_patato,chlorophyll,pls,mutual_info,12,0.6892434936978041,0.0,0.6892434936978041,0.6892434936978041,0.6421851372180144,0.00567320333269857,0.6362223178974024,0.6502961329714809,0.047058356479789724,0.005673203332698565
deep_patato,chlorophyll,pls,rfe,12,0.5956536782133807,0.0,0.5956536782133807,0.5956536782133807,0.6020425649495799,0.0,0.6020425649495799,0.6020425649495799,-0.006388886736199195,0.0
ryckewaert,chlorophyll,pls,ga,12,0.885085068662793,0.0018657786722035014,0.8814907963109877,0.8876680558114692,0.7801843227239394,0.015518016223089114,0.7532030716697357,0.7984435098469103,0.1049007459388535,0.015706594319541176
ryckewaert,chlorophyll,pls,lasso,12,0.8694490788439729,0.0,0.8694490788439728,0.8694490788439728,0.8531390173554021,0.0,0.8531390173554021,0.8531390173554021,0.016310061488570726,0.0
ryckewaert,chlorophyll,pls,mutual_info,12,0.8567857313324931,0.0,0.8567857313324931,0.8567857313324931,0.844990147858558,0.00015531492427683615,0.8444969567351859,0.8450349834152282,0.01179558347393513,0.0001553149242768185
ryckewaert,chlorophyll,pls,rfe,12,0.8535537958694436,0.0,0.8535537958694437,0.8535537958694437,0.8372044852813229,0.0,0.8372044852813227,0.8372044852813227,0.016349310588120947,0.0
ryckewaert,flavonol,lightgbm,ga,12,0.5683162530360765,0.013969870727178148,0.5461144310625785,0.5913639741173422,0.32233506270174167,0.01643244838431864,0.29818015163341327,0.35196044443040214,0.24598119033433485,0.011781157867025572
ryckewaert,flavonol,lightgbm,lasso,12,0.4088048351208064,0.0,0.40880483512080634,0.40880483512080634,0.3559283281215658,0.0,0.3559283281215658,0.3559283281215658,0.05287650699924057,0.0
ryckewaert,flavonol,lightgbm,mutual_info,12,0.3150461773125658,0.0,0.3150461773125658,0.3150461773125658,0.29087133565696793,0.004281828561175738,0.28223890222114,0.2974534366966001,0.024174841655597832,0.004281828561175727
ryckewaert,flavonol,lightgbm,rfe,12,0.2950459336604504,0.0,0.2950459336604504,0.2950459336604504,0.20643745223969953,0.0,0.2064374522396995,0.2064374522396995,0.0886084814207509,0.0
ryckewaert,flavonol,pls,ga,12,0.6185618014050328,0.010594750458252662,0.600324441523414,0.631465196121979,0.2691855351581099,0.02567825693361003,0.22729831436016115,0.3039217026325017,0.3493762662469229,0.030113090588816477
ryckewaert,flavonol,pls,lasso,12,0.5919872037883033,0.0,0.5919872037883033,0.5919872037883033,0.4108911919316755,0.0,0.41089119193167545,0.41089119193167545,0.18109601185662783,0.0
ryckewaert,flavonol,pls,mutual_info,12,0.3193746569055994,0.0,0.3193746569055994,0.3193746569055994,0.280497479570689,0.00739568745950097,0.2705172025511028,0.2914596642971642,0.03887717733491038,0.007395687459500971
ryckewaert,flavonol,pls,rfe,12,0.2595891110353745,0.0,0.2595891110353745,0.2595891110353745,0.2388132037864726,0.0,0.23881320378647258,0.23881320378647258,0.020775907248901937,0.0
