dataset,target,model,selector,k,n_perm,seed,mean_perm_apparent_r2,mean_perm_nested_r2,observed_apparent_r2,observed_nested_r2,perm_p_value,perm_p_value_apparent
ryckewaert,flavonol,pls,rfe,20,200,42,-0.1542570143274331,-0.36003034328977235,0.2595891110353745,0.23881320378647258,0.004975124378109453,0.004975124378109453
ryckewaert,flavonol,pls,mutual_info,20,200,42,-0.14060274092646444,-0.18572982843030433,0.3193746569055994,0.2905549977499649,0.004975124378109453,0.004975124378109453
ryckewaert,flavonol,lightgbm,rfe,20,200,42,-0.24707787945755175,-0.32039929112170085,0.2950459336604504,0.2064374522396995,0.004975124378109453,0.004975124378109453
ryckewaert,flavonol,lightgbm,mutual_info,20,200,42,-0.22453129216109477,-0.32819264747994475,0.3150461773125658,0.2906397769257096,0.004975124378109453,0.004975124378109453
ryckewaert,chlorophyll,pls,rfe,20,200,42,-0.1322904853009125,-0.35318615729828146,0.8535537958694437,0.8372044852813227,0.004975124378109453,0.004975124378109453
ryckewaert,chlorophyll,pls,mutual_info,20,200,42,-0.13932315209213553,-0.1721342766232457,0.8567857313324931,0.8450349834152282,0.004975124378109453,0.004975124378109453
deep_patato,chlorophyll,pls,rfe,20,200,42,-0.28850192244377487,-0.4615700516275813,0.5956536782133807,0.6020425649495799,0.004975124378109453,0.004975124378109453
deep_patato,chlorophyll,pls,mutual_info,20,200,42,-0.3347698064430025,-0.48602466964708996,0.6892434936978041,0.6375893771156568,0.004975124378109453,0.004975124378109453
