seed,dataset,target,model,selector,apparent_r2,nested_r2,bias,apparent_rmse,nested_rmse,bias_rmse,apparent_mae,nested_mae,bias_mae
0,deep_patato,chlorophyll,pls,ga,0.810021595253321,0.460749806194635,0.34927178905868594,3.051568472712369,4.886909960129051,1.8353414874166822,2.4182679758958106,3.6187450988409657,1.2004771229451552
1,deep_patato,chlorophyll,pls,ga,0.8120534088099152,0.47457442221559826,0.3374789865943169,3.035206388729178,4.832881444772595,1.7976750560434174,2.3773187716860056,3.5743086988666337,1.1969899271806281
2,deep_patato,chlorophyll,pls,ga,0.8016137889007915,0.4033841317641711,0.3982296571366204,3.1183635297172536,5.084790264018777,1.9664267343015238,2.487507802496308,3.621029605076433,1.133521802580125
3,deep_patato,chlorophyll,pls,ga,0.812641693045612,0.41611893897507307,0.3965227540705389,3.030452475712639,5.064405151037549,2.0339526753249104,2.3822629792726784,3.617608425484698,1.2353454462120195
4,deep_patato,chlorophyll,pls,ga,0.8049748734072657,0.46127178499122523,0.34370308841604047,3.0918348301284153,4.968352323444606,1.8765174933161903,2.480047229923572,3.5077197810111036,1.0276725510875315
5,deep_patato,chlorophyll,pls,ga,0.815744696722793,0.5020718255897663,0.3136728711330268,3.0052527233568513,4.72184349895399,1.7165907755971386,2.3436342178533005,3.484150425617915,1.1405162077646147
6,deep_patato,chlorophyll,pls,ga,0.8096475912453233,0.47137620021511994,0.3382713910302033,3.054570755219679,4.845232306355065,1.7906615511353863,2.4279928404833577,3.471133997574407,1.0431411570910494
7,deep_patato,chlorophyll,pls,ga,0.8026825414445578,0.44509368666930077,0.357588854775257,3.1099525125046865,4.969169098877567,1.859216586372881,2.4740450368628673,3.547857052111988,1.0738120152491208
8,deep_patato,chlorophyll,pls,ga,0.8161553904585508,0.4418307536124659,0.3743246368460849,3.001901593229664,4.9306495422409355,1.9287479490112713,2.3958736264100184,3.6019300494301114,1.206056423020093
9,deep_patato,chlorophyll,pls,ga,0.8124642687316117,0.37151595546376964,0.44094831326784206,3.0318870230478425,5.146150827113662,2.114263804065819,2.395344045072245,3.598351928879882,1.2030078838076368
10,deep_patato,chlorophyll,pls,ga,0.7986933893670785,0.3999708101562205,0.39872257921085796,3.1412320464856216,5.125907700435883,1.9846756539502617,2.4948871836588946,3.5240464707057644,1.0291592870468698
11,deep_patato,chlorophyll,pls,ga,0.7932511059961597,0.4538695940212392,0.33938151197492045,3.1834101638509353,4.949421734196335,1.7660115703453996,2.539951593638208,3.5646618137808366,1.0247102201426284
0,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
1,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
2,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
3,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
4,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
5,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
6,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
7,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
8,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
