seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
0,deep_patato,chlorophyll,pls,ga,0.7780863248964364,0.09221455576054984,0.460749806194635,0.31733651870180135,3.0263868145765462,0.27591600941574124,4.896626332103572,0.6737587827547535,1.8702395175270254,0.810021595253321,3.051568472712369,4.886909960129051,0.34927178905868594
1,deep_patato,chlorophyll,pls,ga,0.7795123900730876,0.09719284436934696,0.47457442221559826,0.30493796785748933,2.9960825829568924,0.3400316747841209,4.825948591220994,0.6312336886096727,1.8298660082641018,0.8120534088099152,3.035206388729178,4.832881444772595,0.3374789865943169
2,deep_patato,chlorophyll,pls,ga,0.768798935140084,0.09526678850498202,0.4033841317641711,0.3654148033759129,3.0880487550736513,0.2876025950067634,5.0926213196384875,0.41451450920115873,2.0045725645648362,0.8016137889007915,3.1183635297172536,5.084790264018777,0.3982296571366204
3,deep_patato,chlorophyll,pls,ga,0.781604926176439,0.08868841710459005,0.41611893897507307,0.3654859872013659,3.0058586763225565,0.2577597433036288,5.074079091852623,0.6759789514780795,2.068220415530066,0.812641693045612,3.030452475712639,5.064405151037549,0.3965227540705389
4,deep_patato,chlorophyll,pls,ga,0.7724176609619207,0.09476314522873035,0.46127178499122523,0.31114587597069543,3.0627882765916246,0.28589565701962866,4.96529546925714,0.9226486602547245,1.9025071926655155,0.8049748734072657,3.0918348301284153,4.968352323444606,0.34370308841604047
5,deep_patato,chlorophyll,pls,ga,0.7898904113028247,0.07720481029421053,0.5020718255897663,0.2878185857130584,2.9841205373036983,0.2775278983691252,4.7248286939529285,0.7737653454461075,1.7407081566492302,0.815744696722793,3.0052527233568513,4.72184349895399,0.3136728711330268
6,deep_patato,chlorophyll,pls,ga,0.7777723268728682,0.0942055335428619,0.47137620021511994,0.3063961266577483,3.0204093455737477,0.31490612098940785,4.844517405610904,0.8506689091480971,1.824108060037156,0.8096475912453233,3.054570755219679,4.845232306355065,0.3382713910302033
7,deep_patato,chlorophyll,pls,ga,0.7689200469082431,0.09791060503752709,0.44509368666930077,0.32382636023894235,3.083446078820768,0.29059900520043885,4.978215695261481,0.5021647209314645,1.8947696164407128,0.8026825414445578,3.1099525125046865,4.969169098877567,0.357588854775257
8,deep_patato,chlorophyll,pls,ga,0.7905912834644836,0.07508964746227996,0.4418307536124659,0.3487605298520177,2.9759155109093003,0.2584776678015395,4.931844113830361,0.4026993906614774,1.9559286029210607,0.8161553904585508,3.001901593229664,4.9306495422409355,0.3743246368460849
9,deep_patato,chlorophyll,pls,ga,0.7822960128018552,0.0834001375983855,0.37151595546376964,0.4107800573380856,3.0115828811549266,0.25477252664227906,5.137185800952753,0.611331858215796,2.125602919797826,0.8124642687316117,3.0318870230478425,5.146150827113662,0.44094831326784206
