seed,dataset,target,model,selector,apparent_r2_pooled,nested_r2_pooled,bias_pooled
4,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
5,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
6,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
7,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
8,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
9,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
10,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
11,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
0,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
1,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
2,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
3,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
4,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8472392292750264,0.009546502057466766
5,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
6,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
7,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
8,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
9,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
10,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
11,ryckewaert,chlorophyll,pls,mutual_info,0.8567857313324931,0.8477565257928166,0.009029205539676566
0,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
1,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
2,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
3,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
4,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
5,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
6,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
7,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
8,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
9,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
10,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
11,ryckewaert,chlorophyll,pls,rfe,0.8535537958694437,0.8395217882065689,0.014032007662874824
0,ryckewaert,flavonol,lightgbm,ga,0.5631977417555818,0.31532426754217524,0.24787347421340655
1,ryckewaert,flavonol,lightgbm,ga,0.5630686675206681,0.3381272506403592,0.2249414168803089
2,ryckewaert,flavonol,lightgbm,ga,0.583317455998253,0.3296899309228837,0.25362752507536934
3,ryckewaert,flavonol,lightgbm,ga,0.5461144310625785,0.3153920949703529,0.2307223360922256
4,ryckewaert,flavonol,lightgbm,ga,0.5913639741173422,0.36677457589741547,0.22458939821992674
5,ryckewaert,flavonol,lightgbm,ga,0.5582063670357034,0.3177659553826384,0.24044041165306496
6,ryckewaert,flavonol,lightgbm,ga,0.5561015760559722,0.3329928545319635,0.22310872152400874
7,ryckewaert,flavonol,lightgbm,ga,0.5635202336126843,0.3469603667457254,0.21655986686695894
8,ryckewaert,flavonol,lightgbm,ga,0.5827313212738863,0.35374557388629824,0.22898574738758803
9,ryckewaert,flavonol,lightgbm,ga,0.5753932544212893,0.35376160776341803,0.22163164665787127
10,ryckewaert,flavonol,lightgbm,ga,0.5559092121314486,0.3364043919275138,0.2195048202039348
11,ryckewaert,flavonol,lightgbm,ga,0.5808708014475106,0.3425023393181572,0.23836846212935336
0,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
1,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
2,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
3,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
4,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
5,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
6,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
7,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
8,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
9,ryckewaert,flavonol,lightgbm,lasso,0.40880483512080634,0.3710519509734912,0.03775288414731515
